iter	Passed	Remaining
1543	43691	12903
1544	43721	12876
1545	43746	12846
1546	43770	12817
1547	43799	12789
1548	43826	12760
1549	43850	12730
1550	43872	12700
1551	43901	12672
1552	43925	12643
1553	43951	12614
1554	43979	12585
1555	44005	12556
1556	44030	12527
1557	44059	12499
1558	44086	12470
1559	44116	12443
1560	44144	12414
1561	44171	12386
1562	44200	12358
1563	44228	12329
1564	44258	12301
1565	44287	12273
1566	44312	12244
1567	44342	12216
1568	44372	12189
1569	44398	12160
1570	44425	12131
1571	44453	12103
1572	44485	12075
1573	44510	12046
1574	44535	12017
1575	44565	11989
1576	44590	11960
1577	44619	11932
1578	44648	11904
1579	44680	11877
1580	44707	11848
1581	44733	11819
1582	44764	11791
1583	44793	11764
1584	44820	11735
1585	44847	11706
1586	44880	11679
1587	44909	11651
1588	44931	11621
1589	44957	11592
1590	44992	11566
1591	45020	11537
1592	45049	11509
1593	45075	11481
1594	45099	11451
1595	45128	11423
1596	45155	11394
1597	45180	11365
1598	45203	11336
1599	45231	11307
1600	45265	11281
1601	45296	11253
1602	45324	11225
1603	45348	11195
1604	45373	11166
1605	45396	11137
1606	45423	11108
1607	45451	11080
1608	45476	11051
1609	45500	11021
1610	45524	10992
1611	45549	10963
1612	45575	10934
1613	45602	10906
1614	45630	10877
1615	45657	10849
1616	45684	10820
1617	45710	10791
1618	45738	10763
1619	45767	10735
1620	45796	10707
1621	45820	10678
1622	45851	10650
1623	45876	10621
1624	45903	10593
1625	45929	10564
1626	45953	10535
1627	45977	10505
1628	46007	10478
1629	46038	10450
1630	46067	10422
1631	46093	10393
1632	46123	10365
1633	46152	10337
1634	46183	10310
1635	46210	10281
1636	46237	10253
1637	46263	10224
1638	46288	10195
1639	46317	10167
1640	46346	10139
1641	46374	10110
1642	46401	10082
1643	46431	10054
1644	46459	10026
1645	46484	9997
1646	46510	9968
1647	46537	9940
1648	46564	9911
1649	46594	9883
1650	46621	9855
1651	46648	9826
1652	46674	9798
1653	46701	9769
1654	46729	9741
1655	46757	9712
1656	46789	9685
1657	46819	9657
1658	46843	9628
1659	46870	9600
